id,day,month,year,date,location,OSGridRef,latitude,longitude,comments
1,30,Sept,1139,30-9-1139,Arundel,TQ0188707093,50.85439,-0.5539,N/A
2,30,Sept,1139,30-9-1139,Bristol,ST5833772855,51.453134,-2.600982,N/A
3,30,Sept,1139,30-9-1139,Gloucester,SO8320018600,51.865722,-2.245387,N/A
4,2,Feb,1141,2-2-1141,Gloucester,SO8320018600,51.865722,-2.245387,N/A
5,17,Feb,1141,17-2-1141,Cirencester,SP0228102031,51.717003,-1.968383,N/A
6,2,Mar,1141,2-3-1141,Wherwell,SU3892840915,51.166162,-1.4446334,N/A
7,3,Mar,1141,3-3-1141,Winchester,SU4779329466,51.062549,-1.3193687,N/A
8,3,Mar,1141,3-3-1141,Wilton,SU0963931193,51.079979,-1.8637771,N/A
9,3,Mar,1141,3-3-1141,Devizes,SU0042361424,51.351893,-1.995313,"Appears as ""? Devizes"" in text"
10,30,Mar,1141,30-3-1141,Oxford,SP5130006100,51.751253,-1.258267,N/A
11,30,Mar,1141,30-3-1141,Reading,SU7130073300,51.454201,-0.975248,N/A
12,7,Apr,1141,7-4-1141,Winchester,SU4779329466,51.062549,-1.3193687,N/A
13,5,May,1141,5-5-1141,Reading,SU7130073300,51.454201,-0.975248,"Appears as ""5-7 May Reading Oxford"" in text"
14,6,June,1141,6-6-1141,Reading,SU7130073300,51.454201,-0.975248,N/A
15,6,July,1141,6-7-1141,Oxford,SP5130006100,51.751253,-1.258267,N/A
16,7,August,1141,7-8-1141,Oxford,SP5130006100,51.751253,-1.258267,N/A
17,,,1141,1141,St. Albans,TL1480007300,51.752638,-0.3383096,N/A
18,23,June,1141,23-6-1141,London,TQ3248081340,51.515457,-0.09214,"Appears as ""Before 24"" June in text"
19,23,June,1141,23-6-1141,Westminster,TQ3016079670,51.500988,-0.1261717,"Appears as ""Before 24"" June in text"
20,25,June,1141,25-6-1141,Oxford,SP5130006100,51.751253,-1.258267,"Appears as ""c. 25 June"" in text"
21,25,June,1141,25-6-1141,Gloucester,SO8320018600,51.865722,-2.245387,N/A
22,,,1141,1141,Oxford,SP5130006100,51.751253,-1.258267,"Appears as ""July"" in text"
23,31,July,1141,31-7-1141,Winchester,SU4779329466,51.062549,-1.3193687,"Appears as ""c. 31 July Winchester (siege)"" in text"
24,14,Sept,1141,14-9-1141,Ludgershall,SP6594417484,51.852063,-1.044,N/A
25,14,Sept,1141,14-9-1141,Devizes,SU0042361424,51.351893,-1.995313,N/A
26,14,Sept,1141,14-9-1141,Gloucester,SO8320018600,51.865722,-2.245387,N/A
27,14,Sept,1141,14-9-1141,Bristol,ST5833772855,51.453134,-2.600982,N/A
28,,,1141,1141,Oxford,SP5130006100,51.751253,-1.258267,N/A
29,3,Mar,1142,3-3-1142,Devizes,SU0042361424,51.351893,-1.995313,N/A
30,14,June,1142,14-6-1142,Devizes,SU0042361424,51.351893,-1.995313,N/A
31,24,June,1142,24-6-1142,Oxford,SP5130006100,51.751253,-1.258267,"Appears as ""c. 24 June Oxford (besieged from 26 Sept.)"" in text"
32,,Dec,1142,12-1142,Abingdon,SU4968596712,51.667,-1.283,N/A
33,,Dec,1142,12-1142,Wallingford,SP8350040404,52.055739,-0.7836081,N/A
34,,Dec,1143,12-1143,Devizes,SU0042361424,51.351893,-1.995313,N/A
35,,Dec,1144,12-1144,Devizes,SU0042361424,51.351893,-1.995313,N/A
36,,Dec,1144,12-1144,Devizes,SU0042361424,51.351893,-1.995313,N/A
37,,Sept,1146,9-1146,Devizes,SU0042361424,51.351893,-1.995313,"Appears as ""Sept"" in text"
38,4,Mar,1148,4-3-1148,Normandy,,49.442778,1.088611,"Appears as ""Before 4 Mar Return to Normandy"" in text"
39,,June,1148,6-1148,Falaise,,48.897222,-0.1975,"Appears as ""June"" in text"