id,day,month,year,date,location,OSGridRef,latitude,Nation,longitude,comments
1,17,june,1066,17-6-1066,Caen,,49.182861,France,-0.370679,N/A
2,29,september,1066,29-9-1066,Pevensey,TQ6480304912,50.820303,England,0.3383067,N/A
3,14,october,1066,14-10-1066,Senlac,TQ7496715444,50.911944,England,0.4875,N/A
4,15,october,1066,15-10-1066,Senlac,TQ7496715444,50.911944,England,0.4875,N/A
5,25,december,1066,25-12-1066,Westminster,TQ3016079670,51.500988,England,-0.12617168,N/A
6,21,february,1067,21-2-1067,Transfretation to Normandy,,,,,N/A
7,8,april,1067,8-4-1067,Fécamp,,49.758572,France,0.37584,N/A
8,-,april,1067,4-1067,Vaudreuil,,49.2569,France,1.2067,N/A
9,1,may,1067,1-5-1067,St. Pierre sur Dive,,49.02,France,-0.03,N/A
10,1,july,1067,1-7-1067,Jumiéges,,49.4344,France,0.8214,N/A
11,6,december,1067,6-12-1067,Transfretation to England,,,,,N/A
12,7,december,1067,7-12-1067,Transfretation to England,,,,,N/A
13,25,december,1067,25-12-1067,London,TQ3248081340,51.515457,England,-0.092140265,N/A
14,23,march,1068,23-3-1068,Winchester,SU4779329466,51.062549,England,-1.3193687,N/A
15,11,may,1068,11-5-1068,Westminster,TQ3016079670,51.500988,England,-0.12617168,N/A
16,4,february,1069,4-2-1069,Salisbury,SU1450030500,51.073647,England,-1.7944127,N/A
17,12,april,1069,12-4-1069,Winchester,SU4779329466,51.062549,England,-1.3193687,N/A
18,13,april,1069,13-4-1069,Winchester,SU4779329466,51.062549,England,-1.3193687,N/A
19,1,september,1069,1-9-1069,Forest of Dean,SO6285110287,51.79,England,-2.54,N/A
20,-,november,1069,11-1069,Harrying of North,NY8505099250,55.287144,England,-2.2369318,N/A
21,25,december,1069,25-12-1069,York,SE6030051700,53.957883,England,-1.0825156,N/A
22,1,january,1070,1-1-1070,At river Tee,NZ5511428469,54.64832,England,-1.1474,N/A
23,4,april,1070,4-4-1070,Winchester,SU4779329466,51.062549,England,-1.3193687,N/A
24,11,april,1070,11-4-1070,Winchester,SU4779329466,51.062549,England,-1.3193687,N/A
25,23,may,1070,23-5-1070,Windsor,SU9683776912,51.482886,England,-0.60683638,N/A
26,27,may,1070,27-5-1070,Westminster,TQ3016079670,51.500988,England,-0.12617168,N/A
27,-,january,1071,1-1071,London,TQ3248081340,51.515457,England,-0.092140265,N/A
28,27,october,1071,27-10-1071,Ely,TL5401380190,52.398056,England,0.262222,N/A
29,8,april,1072,8-4-1072,Winchester,SU4779329466,51.062549,England,-1.3193687,N/A
30,16,april,1072,16-4-1072,Clarendon,SU1817330220,51.071025,England,-1.7420011,N/A
31,27,may,1072,27-5-1072,Windsor,SU9683776912,51.482886,England,-0.60683638,N/A
32,-,september,1072,9-1072,Scotland,NS7950093500,56.118987,England,-3.9397121,N/A
33,2,november,1072,2-11-1072,Durham,NZ2754642437,54.7761,England,-1.5733,N/A
34,30,march,1073,30-3-1073,Bonneville sur Touques,,49.3389,France,0.1206,N/A
35,-,april,1073,4-1073,Le Mans,,48.0077,France,0.1984,N/A
36,30,november,1074,30-11-1074,Rouen,,49.442778,France,1.088611,N/A
37,5,april,1075,5-4-1075,Fécamp,,49.758572,France,0.37584,N/A
38,25,december,1075,25-12-1075,Westminster,TQ3016079670,51.500988,England,-0.12617168,N/A
39,-,may,1076,5-1076,Brittany,,47.655899,France,-2.7603,N/A
40,25,july,1077,25-7-1077,Rouen,,49.442778,France,1.088611,N/A
41,13,september,1077,13-9-1077,Caen,,49.182861,France,-0.370679,N/A
42,-,january,1079,1-1079,Gerberoy,,49.535,France,1.8506,N/A
43,7,january,1080,7-1-1080,Caen,,49.182861,France,-0.370679,N/A
44,11,january,1080,11-1-1080,St. Georges de Boscherville,,49.4442,France,0.9645,N/A
45,12,april,1080,12-4-1080,Rouen,,49.442778,France,1.088611,N/A
46,31,may,1080,31-5-1080,Lillebonne,,49.5189,France,0.5343,N/A
47,14,july,1080,14-7-1080,Caen,,49.182861,France,-0.370679,N/A
48,25,december,1080,25-12-1080,Berkeley,ST6850098900,51.687965,England,-2.4570708,N/A
49,3,january,1081,3-1-1081,Gloucester,SO8320018600,51.865722,England,-2.2453868,N/A
50,-,february,1081,2-1081,London,TQ3248081340,51.515457,England,-0.092140265,N/A
51,31,may,1081,31-5-1081,Winchester,SU4779329466,51.062549,England,-1.3193687,N/A
52,25,december,1081,25-12-1081,Westminster,TQ3016079670,51.500988,England,-0.12617168,N/A
53,24,june,1082,24-6-1082,Oissel,,49.3425,France,1.0922,N/A
54,5,september,1082,5-9-1082,Oxcessus villa,,,,,N/A
55,25,december,1082,25-12-1082,Gloucester,SO8320018600,51.865722,England,-2.2453868,N/A
56,9,april,1083,9-4-1083,Fécamp,,49.758572,France,0.37584,N/A
57,19,may,1084,19-5-1084,Westminster,TQ3016079670,51.500988,England,-0.12617168,N/A
58,19,june,1084,19-6-1084,Rouen,,49.442778,France,1.088611,N/A
59,6,april,1086,6-4-1086,Winchester,SU4779329466,51.062549,England,-1.3193687,N/A
60,24,may,1086,24-5-1086,Westminster,TQ3016079670,51.500988,England,-0.12617168,N/A
61,1,august,1086,1-8-1086,Salisbury,SU1450030500,51.073647,England,-1.7944127,N/A
62,24,july,1087,24-7-1087,Mantes,,48.9908,France,1.7172,N/A
63,25,july,1087,25-7-1087,Mantes,,48.9908,France,1.7172,N/A
64,26,july,1087,26-7-1087,Mantes,,48.9908,France,1.7172,N/A
65,27,july,1087,27-7-1087,Mantes,,48.9908,France,1.7172,N/A
66,28,july,1087,28-7-1087,Mantes,,48.9908,France,1.7172,N/A
67,29,july,1087,29-7-1087,Mantes,,48.9908,France,1.7172,N/A
68,30,july,1087,30-7-1087,Mantes,,48.9908,France,1.7172,N/A
69,31,july,1087,31-7-1087,Mantes,,48.9908,France,1.7172,N/A
70,9,september,1087,9-9-1087,Rouen,,49.442778,France,1.088611,N/A